,term,year,similar word (word2vec),similarity score (word2vec)
0,chris-chan,2010-2020,chris_chan,0.7268282175064087
1,chris-chan,2010-2020,butlova,0.7239096760749817
2,chris-chan,2010-2020,chasethehedgehog,0.6994593143463135
3,chris-chan,2010-2020,blazesonic,0.6532531380653381
4,chris-chan,2010-2020,chibiyima,0.6390901803970337
5,chris-chan,2010-2020,chris_crocker,0.6377291679382324
6,chris-chan,2010-2020,dannyrose,0.6307467818260193
7,chris-chan,2010-2020,clay_claymore,0.6192042231559753
8,chris-chan,2010-2020,digibrony,0.6183700561523438
9,chris-chan,2010-2020,comic_genesis,0.6142688393592834
