,term,year,similar word (word2vec),similarity score (word2vec)
0,incel,2010-2020,infection,0.6620631217956543
1,incel,2010-2020,immortal,0.649613618850708
2,incel,2010-2020,illness,0.6438660621643066
3,incel,2010-2020,imaginary_friend,0.6316144466400146
4,incel,2010-2020,intentional,0.6224787831306458
5,incel,2010-2020,mip,0.62142014503479
6,incel,2010-2020,added_bonus,0.6172659397125244
7,incel,2010-2020,diagnosis,0.6164919137954712
8,incel,2010-2020,isolated,0.6156097650527954
9,incel,2010-2020,distress,0.6150769591331482
