,term,year,similar word (word2vec),similarity score (word2vec)
0,internets,2010-2020,internet,0.8547878265380859
1,internets,2010-2020,interwebs,0.8183999061584473
2,internets,2010-2020,interwebz,0.7280051708221436
3,internets,2010-2020,tubes,0.7236166000366211
4,internets,2010-2020,net,0.7000687122344971
5,internets,2010-2020,site,0.6905634999275208
6,internets,2010-2020,interbutts,0.6718394756317139
7,internets,2010-2020,forum,0.6457168459892273
8,internets,2010-2020,forums,0.6434179544448853
9,internets,2010-2020,internetz,0.6274807453155518
