,term,year,similar word (word2vec),similarity score (word2vec)
0,nigger,2010-2020,jew,0.7415956258773804
1,nigger,2010-2020,black_person,0.7215862274169922
2,nigger,2010-2020,fag,0.681050717830658
3,nigger,2010-2020,mexican,0.6732819080352783
4,nigger,2010-2020,spic,0.6623970866203308
5,nigger,2010-2020,wigger,0.6600697040557861
6,nigger,2010-2020,rat,0.6560409069061279
7,nigger,2010-2020,retard,0.6528500914573669
8,nigger,2010-2020,kike,0.6510097980499268
9,nigger,2010-2020,homo,0.6492374539375305
