,term,class,year,words used in similar contexts (Gensim word2vec)
0,nigger,lowercase,2010,"[('jew', 0.7381113171577454), ('kike', 0.732539713382721), ('faggot', 0.7264710664749146), ('fag', 0.7190412282943726), ('wigger', 0.7188807725906372), ('nerd', 0.7071363925933838), ('homo', 0.6989485025405884), ('redneck', 0.6898212432861328), ('robot', 0.6815767288208008), ('nigra', 0.6778619289398193)]"
1,internets,lowercase,2010,"[('internet', 0.8766657710075378), ('interwebs', 0.7480854392051697), ('teh_internets', 0.7467780709266663), ('tubes', 0.7292646169662476), ('interbutts', 0.704659640789032), ('net', 0.6666021347045898), ('site', 0.6389423608779907), ('forums', 0.6237072944641113), ('forum', 0.6090959310531616), ('internetz', 0.5938839912414551)]"
2,fag,lowercase,2010,"[('faggot', 0.8522197008132935), ('fucktard', 0.8210440874099731), ('retard', 0.785369873046875), ('idiot', 0.76170814037323), ('douche', 0.7608011960983276), ('loser', 0.760587215423584), ('douchebag', 0.7311203479766846), ('nerd', 0.729347288608551), ('nigger', 0.7190412282943726), ('homo', 0.7171274423599243)]"
3,chris-chan,lowercase,2010,"[('werechu', 0.7735786437988281), ('disneyfan01', 0.765172004699707), ('darviela_maravarona', 0.7637516260147095), ('jdr', 0.7584871053695679), ('daxflame', 0.7583693265914917), ('ulillillia', 0.7556564211845398), ('brownsquirrel', 0.7427905797958374), ('darr', 0.7389811873435974), ('cigarskunk', 0.7366485595703125), ('teruchan', 0.7326085567474365)]"
4,cam_whore,lowercase,2010,"[('jack_spicer', 0.8123903274536133), ('sheila', 0.8051995635032654), ('jock', 0.8024426102638245), ('nintendo_fanboy', 0.792742133140564), ('cumdumpster', 0.7899336218833923), ('prostitot', 0.7893000841140747), ('voraphile', 0.7852376699447632), ('cross-dresser', 0.7852284908294678), ('drag_queen', 0.783694863319397), ('sonicfag', 0.7827234268188477)]"
0,nigger,lowercase,2020,"[('black_person', 0.8500267267227173), ('jew', 0.744928777217865), ('spic', 0.7382246851921082), ('chink', 0.7175496220588684), ('mexican', 0.702023983001709), ('wigger', 0.6957257986068726), ('monkey', 0.6931008100509644), ('kike', 0.6922326683998108), ('cracker', 0.6881350874900818), ('pig', 0.6874237060546875)]"
1,internets,lowercase,2020,"[('internet', 0.9104281663894653), ('interwebs', 0.8127540349960327), ('interwebz', 0.7885231971740723), ('interbutts', 0.7855631113052368), ('tubes', 0.7235695719718933), ('intertubes', 0.7183263897895813), ('teh_internets', 0.7055972814559937), ('net', 0.7035125494003296), ('internetz', 0.6855599880218506), ('interweb', 0.6802495718002319)]"
2,fag,lowercase,2020,"[('faggot', 0.84764564037323), ('douche', 0.8313618898391724), ('fucktard', 0.7959688305854797), ('douchebag', 0.7819601893424988), ('loser', 0.7810066938400269), ('idiot', 0.778293251991272), ('retard', 0.7543829679489136), ('dumbass', 0.741862416267395), ('fat_fuck', 0.7322608232498169), ('noob', 0.7315518856048584)]"
3,chris-chan,lowercase,2020,"[('butlova', 0.772534191608429), ('chris_chan', 0.7378125786781311), ('blazesonic', 0.7277176976203918), ('chasethehedgehog', 0.7099411487579346), ('asperchu', 0.6599271297454834), ('daniellehedgehog', 0.6591166853904724), ('dannyrose', 0.6531126499176025), ('spoony', 0.6511075496673584), ('tomgirl', 0.651095986366272), ('bengo', 0.6436730027198792)]"
4,cam_whore,lowercase,2020,"[('fursuiter', 0.7407187223434448), ('12-year-old_girl', 0.7336318492889404), ('crack-whore', 0.7242231369018555), ('weeaboo_faggot', 0.7153432965278625), ('selena', 0.7122552990913391), ('cocktease', 0.7109120488166809), ('kotori', 0.7080062627792358), ('beached_whale', 0.7020989656448364), ('hmo', 0.7013341784477234), ('columbiner', 0.7012135982513428)]"
